Ticker;Name;IPO;Amount;Administrator
BBGO11;BB Crédito Fiagro;01/02/2022;388766180.75;BB GESTAO DE RECURSOS
BTAL11;Btg Pactual Agro Logística;29/01/2021;614879916.06;BTG PACTUAL
BTRA11;BTG Pactual Terras Agrícolas;30/07/2021;347617328.85;BTG PACTUAL
DCRA11;Devant Fiagro;08/02/2022;64832386.65;MAF
FGAA11;FG/Agro Fiagro;12/01/2022;87048821.05;BRL TRUST
GCRA11;Galapagos Recebíveis do Agronegócio Fiagro;19/01/2022;70917159.24;SINGULARE
JGPX11;JGP Crédito Fiagro;29/11/2021;80715047.82;BANCO DAYCOVAL
KNCA11;Kinea Crédito Agro Fiagro;18/01/2022;511914394.34;INTRAG
NCRA11;NCH EQI Recebíveis do Agronegócio Fiagro;N/D;38259858.31;BTG PACTUAL
QAGR11;Quasar Agro;12/11/2019;300920810.23;BTG PACTUAL
RURA11;Itaú Asset Rural Fiagro;09/03/2022;600311737.55;INTRAG
RZAG11;Riza Agro Fiagro;06/10/2021;289373158.29;BANCO GENIAL
RZTR11;Riza Terrax;05/10/2020;1096079994.79;BANCO GENIAL
VGIA11;Valora CRA Fiagro;N/D;95645401.14;BTG PACTUAL
XPCA11;XP Crédito Agrícola Fiagro;17/11/2021;134947595.51;XP INVESTIMENTOS
